STOCK;PRODUCTOS;PRECIO;SIN IGV;;;
0;Escoba la grandaza virutex;15.50;13.14;;;
0;Escoba metálica pretul;21.00;17.80;;;
0;Escoba paja;16.00;13.56;;;
0;Escoba virutex;13.00;11.02;;;
0;Escobilla 4 trenzado uyustools;16.00;13.56;;;
0;Escobilla copa 4 chascosa kamasa;14.00;11.86;;;
0;Escobilla de fierro;8.00;6.78;;;
0;escobilla Loreto ropa;3.00;2.54;;;
0;Escuadra 6 pretul;13.00;10.17;;;
0;Escuadra tramontina;18.00;15.25;;;
0;Esmalte 1/32;6.00;5.08;;;
0;Esmalte 1/4;17.00;14.41;;;
0;Esmalte 1/8;12.00;10.17;;;
0;Esmalte galon;37.00;31.36;;;
0;Espátula 2;4.00;3.39;;;
0;Espátula 3;5.00;4.24;;;
0;Espátula 4;6.00;5.08;;;
0;Espátula gypsom 8;15.00;12.71;;;
0;Espátula plastico 3;3.50;2.97;;;
0;Espátula truper;20.00;16.95;;;
0;Esponja;1.00;0.85;;;
0;Esponja metalica;3.00;2.54;;;
0;Espuma expansiva 500ml truper;24.00;20.34;;;
0;Estaño;3.00;2.54;;;
0;Extensión 10m amarillo home light;22.00;19.49;;;
0;Extensión 3m;6.50;5.51;;;
0;Extensión 3m plomo home light;11.00;9.32;;;
0;Extensión 5m plomo home light;15.00;13.56;;;
0;Extensión dado;18.00;15.25;;;
0;Extensión ultra 3m;7.00;5.93;;;
0;Extensión ultra 5m;12.00;10.17;;;
0;"Film 15""";20.00;16.95;;;
0;Flexo 10 uyustools;19.00;16.10;;;
0;Flexo 3m kamasa;6.50;5.93;;;
0;Flexo 5m eco;8.00;6.78;;;
0;Flexo 5m kamasa;10.00;8.47;;;
0;FLEXO 5m truper;18.00;15.25;;;
0;Flexo 5m uyustools;9.50;8.47;;;
0;Flexo 7.5m uyustools;15.00;12.71;;;
0;Flourescente;20.00;16.95;;;
0;Fluorescente 75w cubull;29.00;24.58;;;
0;Fluorescente cubull;29.00;24.58;;;
0;Foco;2.50;5.93;;;
0;foco 10w Philips;10.00;8.47;;;
0;Foco 15 swift;9.00;7.63;;;
0;Foco 15w tramontina;10.00;10.17;;;
0;Foco 3w fsl;6.50;5.51;;;
0;Foco 7w swift;6.00;5.08;;;
0;Foco 9w gz ama;9.00;7.63;;;
0;Foco bola 24w opalux;19.00;16.10;;;
0;foco botella Phelix;15.00;12.71;;;
0;Foco led 12w opalux;9.00;7.63;;;
0;Foco led 3w fsl;6.50;5.51;;;
0;Foco led 9 tramontina ama;7.50;6.36;;;
0;Foco led 9w opalux;7.00;5.93;;;
0;Foco plato cubull;25.00;21.19;;;
0;Foco torta 30w opalux;20.00;16.95;;;
0;Foco torta 40w opalux;25.00;21.19;;;
0;Formón;11.00;9.32;;;
0;Fragua azul chema;8.00;6.78;;;
0;Fragua blanca chema;8.00;6.78;;;
0;Fragua chocolate chema;8.00;6.78;;;
0;Fragua cuero chema;8.00;6.78;;;
0;Fragua gris plata sanson;8.00;6.78;;;
0;Fragua hueso chema;8.00;6.78;;;
0;Fragua marfil chema;8.00;6.78;;;
0;fragua Sansón;6.50;5.51;;;
0;Frotacho;7.00;5.93;;;
0;Galón cola sintética pecsa;32.00;27.12;;;
0;Gancho cortina x100;6.00;5.08;;;
0;Gancho de cortina;1.00;0.85;;;
0;Gancho de ropa;5.00;4.24;;;
0;Gancho ropa;4.00;3.39;;;
0;Gancho tekbond 1k;8.00;6.78;;;
0;Gancho tekbond 3k;12.00;10.17;;;
0;Grampa 10;1.50;1.27;;;
0;Grampa 10;8.00;6.78;;;
0;Grampa 6,8;7.00;5.93;;;
0;Grampa 6,8;1.00;0.85;;;
0;Grasa;5.00;5.08;;;
0;Grasa chica;3.00;2.54;;;
0;Gruña;7.00;5.93;;;
0;Guante asatex;6.00;5.08;;;
0;Guante azul;6.00;5.08;;;
0;Guante azul safety;7.00;5.93;;;
0;Guante badana;9.00;7.63;;;
0;Guante cal 35 dkasa;12.00;10.17;;;
0;Guante corrugado dkasa;9.00;7.63;;;
0;Guante corrugado master;7.00;5.93;;;
0;guante corrugado pinto tL;7.00;5.93;;;
0;Guante corrugado virutex;9.00;7.63;;;
0;Guante cya;10.00;8.47;;;
0;Guante nitrilo;0.60;0.51;;;
0;Guante plomo;4.00;3.39;;;
0;Guante protex 9;11.00;9.32;;;
0;Guante punto;7.50;6.36;;;
0;Guante rojo y negro;5.00;4.24;;;
0;Guante spro;8.00;6.78;;;
0;Guante tradicional;5.00;4.24;;;
0;Guante truper;10.00;8.47;;;
0;Guante virutex 42cm;11.50;9.75;;;
0;Herramientas de jardin metal truper;40.00;33.90;;;
0;Hilo desbrozadora;9.00;7.63;;;
0;Hisopo baño hude;9.00;7.63;;;
0;Hisopo de baño eco;5.00;4.24;;;
0;Imprimante cpp;32.00;27.12;;;
0;Imprimante oriental;20.00;16.95;;;
0;Inflador kamasa;25.00;21.19;;;
0;Insecticida sapolio;9.00;7.63;;;
0;Interr bticino;13.00;11.02;;;
0;Interruptor aéreo;2.25;1.91;;;
0;Interruptor doble ultra;5.50;4.66;;;
0;Interruptor opalux;22.00;18.64;;;
0;Interruptor simple;13.00;11.02;;;
0;Interruptor simple ultra;5.50;4.66;;;
0;Interruptor triple ultra;5.50;4.66;;;
0;Jalador de agua;15.00;12.71;;;
0;Jgo. acc. one piece metusa;57.00;48.31;;;
0;Juego cierra copa by madera kamasa;14.00;11.86;;;
0;Juego de broca aksi;15.00;12.71;;;
0;Juego de broca concreto x5 kamasa;12.00;10.17;;;
0;Juego de cables truper;12.00;10.17;;;
0;Juego de desarmadores maxtool;16.00;13.56;;;
0;Juego de llaves maxtool;7.50;6.36;;;
0;Juego de llaves mixta;25.00;21.19;;;
0;Juego de piedra taladro;8.00;6.78;;;
0;kit trampa y desagüe América;13.00;11.02;;;
0;Kubul;12.00;10.17;;;
0;La fregona;14.00;11.86;;;
0;Laca spray;6.00;5.93;;;
0;Lampa truper;35.00;29.66;;;
0;Lampita jardin truper;11.00;9.32;;;
0;Lapicero metal;10.00;8.47;;;
0;Lápiz;1.00;0.85;;;
0;Lápiz bicolor;1.50;1.27;;;
0;Lápiz bicolor;1.00;0.85;;;
0;Lápiz carpintero;1.00;0.85;;;
0;Led chico uyustools;16.00;13.56;;;
0;Lejia galon;13.00;11.02;;;
0;Lejia sapolio;2.50;2.12;;;
0;Lente seguridad azul;4.00;3.39;;;
0;Lentes seguridad;6.00;5.08;;;
0;Lijar metal 100, al agua, madera;2.00;1.69;;;
0;Lijar metal 4,6,8;2.50;2.12;;;
0;"Lijar redondo 80 4""";0.60;0.51;;;
0;Lima plana;10.00;8.47;;;
0;Limpia metales brasso;5.00;4.24;;;
0;Limpia vidrio;5.00;4.24;;;
0;Limpia vidrio losaro;8.50;7.20;;;
0;Limpiatodo sapolio;3.50;2.97;;;
0;Limpiatodo virutex;3.00;2.54;;;
0;Llave 15mm;5.30;4.49;;;
0;llave Allen t/navaja x8 truper;20.00;16.95;;;
0;Llave check 1/2 italy;27.00;22.88;;;
0;Llave check 1/2 valmax;19.00;16.10;;;
0;Llave check 3/4 italy;35.00;29.66;;;
0;Llave check 3/4 valmax;25.00;21.19;;;
0;Llave de ducha favinsa;28.00;23.73;;;
0;Llave de lavatorio venessia;30.00;25.42;;;
0;Llave de paso 1/2;15.00;9.32;;;
0;Llave de paso 1/2 bo/pala;17.00;14.41;;;
0;Llave de paso 1/2 metusa;7.00;5.93;;;
0;Llave de paso 3/4 bo/pal;25.00;21.19;;;
0;Llave de paso 3/4 metusa;9.00;7.63;;;
0;Llave de paso fv;31.00;25.42;;;
0;Llave de paso genebre;25.00;21.19;;;
0;Llave de paso italy;22.00;18.64;;;
0;Llave francesa 10;18.50;15.68;;;
0;Llave francesa 8;15.00;12.71;;;
0;Llave ganzo mueble metusa;24.00;19.49;;;
0;Llave ganzo pared metusa;20.00;16.95;;;
0;Llave lavatorio;20.00;16.95;;;
0;Llave medidor;11.00;9.32;;;
0;Llave mixta 10;4.50;4.24;;;
0;Llave mixta 11mm;4.00;3.39;;;
0;Llave mixta 12mm;4.50;3.81;;;
0;Llave mixta 13mm;5.00;4.24;;;
0;Llave mixta 14;6.00;5.08;;;
0;Llave mixta 16;6.00;5.08;;;
0;Llave mixta 17;6.53;5.53;;;
0;Llave mixta 18mm;6.00;5.08;;;
0;Llave mixta 19;7.00;5.93;;;
0;Llave mixta 20;7.00;5.93;;;
0;Llave mixta 21;7.00;5.93;;;
0;Llave mixta 24;8.00;6.78;;;
0;Llave mixta 6;3.50;2.97;;;
0;Llave mixta 7mm;3.00;2.54;;;
0;Llave mixta 8mm;3.20;2.71;;;
0;Llave mixta 9;4.50;3.81;;;
0;Llave p ducha;30.00;25.42;;;
0;Llave ratchet 1/2 kamasa;19.00;16.10;;;
0;llave Stilson 8;18.00;15.25;;;
0;Llave taladro 1/2 aksi;5.00;4.24;;;
0;Llave termomagnética bticino 32apr;48.00;40.68;;;
0;Llave termomagnética LS 32apr;29.00;18.64;;;
0;llave termomagnética STRONGER;18.00;15.25;;;
0;llave y UYUSTOOLS;11.00;9.32;;;
0;Machete;25.00;21.19;;;
0;Machete 22 truper;20.00;16.95;;;
0;Madera rectangular;2.00;1.69;;;
0;Malla plateada;6.00;5.08;;;
0;Malla verde;6.00;5.08;;;
0;Mameluco pintar;18.00;15.25;;;
0;Manguera 1/2;2.00;1.69;;;
0;Manguera 10 m aksi;37.00;31.36;;;
0;Manguera corrugada;1.50;1.27;;;
0;Manguera de gas;6.00;5.08;;;
0;Manguera entrada lavadora 3m;16.00;13.56;;;
0;Manguera nivel;1.50;1.27;;;
0;Manguera salida lavadora 3m;15.00;12.71;;;
0;marcador CD;2.00;1.69;;;
0;Martillo;14.00;12.71;;;
0;Martillo truper;22.00;18.64;;;
0;Martillo uyustools;22.00;18.64;;;
0;Mascarilla;0.50;0.42;;;
